sample_kind,event_id,timestamp,device_id,card_uid,access_granted,door_id,zone,event_type,attempt_count,avg_response_time_ms,min_signal_strength,avg_battery_voltage,event_hour,previous_failed_attempts,avg_response_time_last5,denial_rate_last10,risk_level
brute_force_burst,04897ec4-4935-49bf-bf3d-0c9fa24b04df,2026-07-03T13:14:04Z,RFID-WH-01,E0C77080,False,SERVER_ROOM,SECOND_FLOOR,BRUTE_FORCE_ATTEMPT,7,151.71,-82,3.29,13,6,162.8,1.0,HIGH
single_event,561e5239-c713-4591-a0e7-7dfad0aaffb4,2026-07-03T13:14:49Z,RFID-WH-01,35807290,True,LAB,LAB_BLOCK,ENTRY,1,79.0,-74,3.76,13,0,162.8,1.0,HIGH
single_event,bf74f5e8-7ca2-4a30-99aa-e695c8889e6c,2026-07-03T13:15:49Z,RFID-ENT-01,D0E088A3,True,LAB,LAB_BLOCK,EXIT,1,26.0,-60,3.92,13,0,26.0,0.0,LOW
single_event,e46aef86-1cfe-4f4f-9d0b-5999f4846560,2026-07-03T13:16:49Z,RFID-WH-01,E95A6526,True,SERVER_ROOM,SECOND_FLOOR,EXIT,1,35.0,-72,3.43,13,0,148.4,0.875,HIGH
single_event,9e8ce69d-be24-4d5e-8a49-e29d1c331e04,2026-07-03T13:17:49Z,RFID-WH-01,52EB5D28,True,OFFICE_A,FIRST_FLOOR,ENTRY,1,26.0,-57,3.75,13,0,120.0,0.7778,MEDIUM
brute_force_burst,916ab18d-9d5c-4a7a-a64d-5202c61430d2,2026-07-03T13:18:59Z,RFID-OFFICE-01,9AF2CDEC,False,GARAGE,GARAGE,BRUTE_FORCE_ATTEMPT,6,153.67,-77,3.44,13,5,156.0,1.0,HIGH
brute_force_burst,d5eed90e-530d-40d3-85c9-77fd3dae8cd9,2026-07-03T13:19:56Z,RFID-ENT-01,01A4EC8C,False,LAB,LAB_BLOCK,BRUTE_FORCE_ATTEMPT,7,161.0,-76,3.3,13,6,164.8,0.875,HIGH
single_event,f81adba6-ce65-4ba6-89ac-64d4d5ab5fd4,2026-07-03T13:20:41Z,RFID-ENT-02,1FE31B88,True,MAIN_GATE,GROUND_FLOOR,ENTRY,1,55.0,-56,3.79,13,0,55.0,0.0,LOW
single_event,8bec20e5-75ed-4d42-b291-a3e0811a2c10,2026-07-03T13:21:41Z,RFID-WH-01,4F2F92C7,True,OFFICE_B,FIRST_FLOOR,EXIT,1,118.0,-61,3.78,13,0,88.6,0.7,LOW
single_event,71c423ef-e452-455f-8000-8bdfbde5697b,2026-07-03T13:22:41Z,RFID-OFFICE-01,A3B50B3D,True,LAB,LAB_BLOCK,EXIT,1,149.0,-54,3.6,13,0,156.0,1.0,HIGH
single_event,c197918b-6bf0-4610-b4cd-2939ae26e276,2026-07-03T13:23:41Z,RFID-LAB-01,0D554441,False,MAIN_GATE,GROUND_FLOOR,ACCESS_DENIED,1,104.0,-64,3.68,13,0,104.0,0.0,LOW
single_event,80550dd6-b91b-4e01-b69a-52d4731978e2,2026-07-03T13:24:41Z,RFID-ENT-02,1B2A23D6,False,GARAGE,GARAGE,FORCED_OPEN,1,204.0,-74,3.28,13,0,55.0,0.0,MEDIUM
single_event,8c73ab0e-c5ca-4e2b-872c-2e7a96721046,2026-07-03T13:25:41Z,RFID-LAB-01,1963653A,False,WAREHOUSE,WAREHOUSE,CARD_UNKNOWN,1,81.0,-56,3.66,13,0,104.0,1.0,LOW
single_event,0db7cc48-f3c7-4c1d-9717-d3e624d8b9f0,2026-07-03T13:26:41Z,RFID-LAB-01,FA4364DD,True,LAB,LAB_BLOCK,EXIT,1,35.0,-71,3.42,13,0,92.5,1.0,MEDIUM
single_event,26360104-1e9c-4e3a-9a00-bbf77c9e11a6,2026-07-03T13:27:41Z,RFID-ENT-01,6A8ED8FF,False,WAREHOUSE,WAREHOUSE,ACCESS_DENIED,1,162.0,-52,3.28,13,0,164.8,0.875,HIGH
single_event,ff5f83e0-8d9b-4333-954c-cbcacecb3ba5,2026-07-03T13:28:41Z,RFID-OFFICE-01,4552170C,True,GARAGE,GARAGE,EXIT,1,112.0,-58,3.62,13,0,148.6,0.8571,MEDIUM
single_event,16d0dc91-6373-438b-b9ca-d8188e517368,2026-07-03T13:29:41Z,RFID-WH-01,2E3870B5,False,OFFICE_A,FIRST_FLOOR,FORCED_OPEN,1,55.0,-54,3.85,13,0,75.8,0.6,LOW
single_event,c31845b2-00d9-42d6-b96a-f0c5ffe68c5d,2026-07-03T13:30:41Z,RFID-OFFICE-01,B2CCFDD7,True,SERVER_ROOM,SECOND_FLOOR,ENTRY,1,141.0,-56,3.31,13,0,134.4,0.75,HIGH
brute_force_burst,3bc15c18-eec0-420b-b9dc-a18ec7294a13,2026-07-03T13:32:01Z,RFID-OFFICE-01,E7EABCBC,False,SERVER_ROOM,SECOND_FLOOR,BRUTE_FORCE_ATTEMPT,11,144.91,-75,3.46,13,10,146.2,1.0,HIGH
single_event,58416848-71f8-419d-a58f-3e9e748b1d91,2026-07-03T13:32:46Z,RFID-LAB-01,D77694C2,True,OFFICE_B,FIRST_FLOOR,EXIT,1,65.0,-66,4.07,13,0,73.33,0.6667,LOW
single_event,313e6fdc-041d-4258-877d-2291caac51bb,2026-07-03T13:33:46Z,RFID-LAB-01,D61249DC,True,WAREHOUSE,WAREHOUSE,EXIT,1,64.0,-63,3.96,13,0,71.25,0.5,LOW
single_event,b270491c-4206-46b0-9405-69bcdba69ec2,2026-07-03T13:34:46Z,RFID-ENT-02,57BEE513,True,OFFICE_B,FIRST_FLOOR,EXIT,1,75.0,-75,3.25,13,0,129.5,0.5,MEDIUM
single_event,8cc6c276-046e-48cc-b09b-220c440d672f,2026-07-03T13:35:46Z,RFID-ENT-01,151F82BF,True,SERVER_ROOM,SECOND_FLOOR,ENTRY,1,171.0,-58,3.53,13,0,159.8,0.8889,HIGH
brute_force_burst,b472932a-3448-4bf2-96f5-f41f49038868,2026-07-03T13:36:52Z,RFID-ENT-02,68B9A291,False,WAREHOUSE,WAREHOUSE,BRUTE_FORCE_ATTEMPT,4,143.5,-75,3.67,13,3,129.8,0.7143,HIGH
single_event,888ea6e0-5bcc-48d2-b26b-75f8ef04502a,2026-07-03T13:37:37Z,RFID-WH-01,0C029A3D,True,WAREHOUSE,WAREHOUSE,ENTRY,1,178.0,-51,4.13,13,0,62.6,0.6,MEDIUM
brute_force_burst,a0b209c8-92d7-4687-9b03-2d547bfa2031,2026-07-03T13:38:45Z,RFID-ENT-01,AAB2B85F,False,SERVER_ROOM,SECOND_FLOOR,BRUTE_FORCE_ATTEMPT,5,149.8,-76,3.38,13,4,149.8,0.9,HIGH
single_event,b1b53d09-bed9-4b3b-bd04-557478c0f3d0,2026-07-03T13:39:30Z,RFID-ENT-02,D91B7497,True,WAREHOUSE,WAREHOUSE,ENTRY,1,97.0,-75,4.02,13,0,129.8,0.7143,MEDIUM
single_event,d620255a-bf2f-4522-9e2b-de2578481da8,2026-07-03T13:40:30Z,RFID-OFFICE-01,95866DB9,True,MAIN_GATE,GROUND_FLOOR,ENTRY,1,106.0,-41,3.81,13,0,146.2,1.0,MEDIUM
single_event,8117530e-0871-457e-b36d-f82099228162,2026-07-03T13:41:30Z,RFID-WH-01,01516D80,False,SERVER_ROOM,SECOND_FLOOR,ACCESS_DENIED,1,119.0,-77,3.46,13,0,82.4,0.5,HIGH
single_event,8789bf38-fd98-4b40-8816-993fcb49a46b,2026-07-03T13:42:30Z,RFID-ENT-01,B327A048,True,OFFICE_B,FIRST_FLOOR,ENTRY,1,74.0,-56,3.99,13,0,149.8,0.9,MEDIUM
single_event,7791ebf9-42e1-4a7e-8455-9574d42c7d44,2026-07-03T13:43:30Z,RFID-ENT-01,4AC7965E,True,WAREHOUSE,WAREHOUSE,EXIT,1,167.0,-64,4.06,13,0,129.4,0.8,MEDIUM
single_event,651bfb7e-f16e-46da-9d0b-0542c70a9541,2026-07-03T13:44:30Z,RFID-LAB-01,45E0DBA2,False,OFFICE_A,FIRST_FLOOR,CARD_UNKNOWN,1,195.0,-58,3.31,13,0,69.8,0.4,MEDIUM
single_event,def185b8-0236-48e2-ad72-35e13404906b,2026-07-03T13:45:30Z,RFID-OFFICE-01,C2F3809C,True,OFFICE_B,FIRST_FLOOR,ENTRY,1,154.0,-64,3.73,13,0,135.0,0.9,MEDIUM
single_event,8e0a7eaf-505b-4027-9ed1-6c9dee76b422,2026-07-03T13:46:30Z,RFID-ENT-02,562DCF2D,True,OFFICE_B,FIRST_FLOOR,EXIT,1,26.0,-64,3.85,13,0,134.2,0.625,MEDIUM
single_event,57ef79ad-9d26-42df-a6ea-3d2efbd2b34f,2026-07-03T13:47:30Z,RFID-ENT-02,C5F966DA,True,WAREHOUSE,WAREHOUSE,EXIT,1,91.0,-45,4.09,13,0,116.4,0.5556,LOW
brute_force_burst,bff9bc36-4bb4-495d-acc9-cab0e742401c,2026-07-03T13:48:54Z,RFID-OFFICE-01,02F54024,False,WAREHOUSE,WAREHOUSE,BRUTE_FORCE_ATTEMPT,13,132.38,-84,3.44,13,12,139.2,1.0,HIGH
single_event,1e1d92da-fd4f-46a8-897e-50fb6db03183,2026-07-03T13:49:39Z,RFID-ENT-01,04B0448C,True,GARAGE,GARAGE,ENTRY,1,134.0,-71,3.47,13,0,138.4,0.7,MEDIUM
single_event,23b02bdb-f661-4aa2-88b2-1775114c52ba,2026-07-03T13:50:39Z,RFID-WH-01,A97797A2,False,OFFICE_B,FIRST_FLOOR,CARD_UNKNOWN,1,139.0,-79,3.66,13,0,99.2,0.5,MEDIUM
single_event,654a3a61-e38f-47ee-adbd-19aedd6b5d4f,2026-07-03T13:51:39Z,RFID-ENT-02,3B5C1187,True,WAREHOUSE,WAREHOUSE,ENTRY,1,102.0,-68,4.0,13,0,111.4,0.5,LOW
brute_force_burst,77caf765-d669-45f8-988f-a2b5cec32b7e,2026-07-03T13:52:49Z,RFID-LAB-01,84962A20,False,SERVER_ROOM,SECOND_FLOOR,BRUTE_FORCE_ATTEMPT,6,147.67,-81,3.49,13,5,150.8,0.7,HIGH
single_event,711428a0-3fe3-40ce-af89-253f8eda99c2,2026-07-03T13:53:34Z,RFID-ENT-02,514B31BB,True,WAREHOUSE,WAREHOUSE,ENTRY,1,153.0,-62,3.57,13,0,96.0,0.5,LOW
single_event,ab9e5f22-9c21-40ee-8c2e-cedd59ac0096,2026-07-03T13:54:34Z,RFID-ENT-02,E073C876,True,GARAGE,GARAGE,ENTRY,1,130.0,-40,3.95,13,0,93.8,0.4,LOW
single_event,f7e73fb5-aa2d-41bc-a902-270a2b653a1e,2026-07-03T13:55:34Z,RFID-LAB-01,3F3FF30C,True,MAIN_GATE,GROUND_FLOOR,EXIT,1,43.0,-42,3.95,13,0,150.8,0.7,MEDIUM
single_event,f91bae86-fbd1-4928-bc45-05d2b134542a,2026-07-03T13:56:34Z,RFID-LAB-01,8B5D8B82,True,GARAGE,GARAGE,EXIT,1,75.0,-61,3.89,13,0,122.8,0.7,MEDIUM
brute_force_burst,6af3309e-7abc-463f-b3f9-04c5aad545c5,2026-07-03T13:57:42Z,RFID-WH-01,64D1F060,False,OFFICE_A,FIRST_FLOOR,BRUTE_FORCE_ATTEMPT,5,130.0,-82,3.46,13,4,130.0,0.8,HIGH
single_event,4ef66512-64e4-4eff-9ee7-cbd66f454e3d,2026-07-03T13:58:27Z,RFID-ENT-01,8AAE56A5,True,OFFICE_B,FIRST_FLOOR,EXIT,1,130.0,-77,3.47,13,0,141.8,0.6,HIGH
single_event,293bae6b-fa34-4eb2-8d7a-b1f6d7ad2399,2026-07-03T13:59:27Z,RFID-WH-01,750A440D,True,OFFICE_A,FIRST_FLOOR,ENTRY,1,111.0,-67,3.28,13,0,130.0,0.8,MEDIUM
single_event,6ada9ddc-0900-4b14-b345-47bc9ab8101e,2026-07-03T14:00:27Z,RFID-ENT-02,3AC527FB,False,WAREHOUSE,WAREHOUSE,CARD_UNKNOWN,1,193.0,-49,4.05,14,0,100.4,0.4,LOW
brute_force_burst,6807fd9e-3876-4996-ac16-6329d85b37f6,2026-07-03T14:01:37Z,RFID-OFFICE-01,FE0E3BFF,False,WAREHOUSE,WAREHOUSE,BRUTE_FORCE_ATTEMPT,6,133.67,-81,3.51,14,5,131.6,1.0,HIGH
single_event,f8964d9f-18d3-4003-8b63-a03a3329cb49,2026-07-03T14:02:22Z,RFID-ENT-01,A5E610A4,False,GARAGE,GARAGE,CARD_UNKNOWN,1,132.0,-69,3.63,14,0,135.8,0.5,MEDIUM
single_event,f5a9fd0f-ea29-47b2-9a4f-3966e98aee98,2026-07-03T14:03:22Z,RFID-ENT-02,9A34507A,True,MAIN_GATE,GROUND_FLOOR,EXIT,1,153.0,-49,3.41,14,0,133.8,0.4,MEDIUM
single_event,40bf3f71-45ba-4b84-83b1-0f6b8d22dd87,2026-07-03T14:04:22Z,RFID-ENT-01,E9A8C8D5,True,SERVER_ROOM,SECOND_FLOOR,ENTRY,1,70.0,-68,4.02,14,0,127.4,0.6,HIGH
single_event,5b771185-3304-4b28-84c7-31c1d26380b9,2026-07-03T14:05:22Z,RFID-LAB-01,9B98E43C,True,WAREHOUSE,WAREHOUSE,ENTRY,1,165.0,-59,3.84,14,0,107.2,0.7,MEDIUM
brute_force_burst,74747833-79b4-48e6-a342-9a1c09a825d0,2026-07-03T14:06:46Z,RFID-WH-01,E0FD1505,False,OFFICE_B,FIRST_FLOOR,BRUTE_FORCE_ATTEMPT,13,128.31,-82,3.37,14,12,122.6,1.0,HIGH
single_event,8d04c68b-4dbe-497f-b7d4-eefb8cd66b3d,2026-07-03T14:07:31Z,RFID-OFFICE-01,51554344,True,SERVER_ROOM,SECOND_FLOOR,ENTRY,1,38.0,-56,3.54,14,0,131.6,1.0,HIGH
brute_force_burst,d769209c-6172-4cf8-9cc6-5c37f2962334,2026-07-03T14:08:59Z,RFID-LAB-01,C4DFB9CB,False,GARAGE,GARAGE,BRUTE_FORCE_ATTEMPT,15,147.0,-83,3.44,14,14,143.2,1.0,HIGH
single_event,9ba64d84-ee58-4284-8335-49787b558777,2026-07-03T14:09:44Z,RFID-LAB-01,2393731B,True,OFFICE_B,FIRST_FLOOR,ENTRY,1,125.0,-54,3.8,14,0,143.2,1.0,MEDIUM
single_event,46126482-fe13-4e6e-92e6-75b2d128ddfb,2026-07-03T14:10:44Z,RFID-ENT-02,28168BD5,True,MAIN_GATE,GROUND_FLOOR,EXIT,1,149.0,-40,3.34,14,0,146.2,0.3,MEDIUM
single_event,213e1d99-aead-4c47-b1ad-24384751345e,2026-07-03T14:11:44Z,RFID-WH-01,9A37658D,False,SERVER_ROOM,SECOND_FLOOR,FORCED_OPEN,1,133.0,-53,4.02,14,0,122.6,1.0,HIGH
